chr10:114757349-114759349	1	chr10:114792602-114841400
chr10:123330602-123341000	1	chr10:123348002-123356600
chr10:124260-127839	1	chr10:374401-376401
chr10:23507305-23509305	1	chr10:23507363-23509363
chr10:23507305-23509305	1	chr10:23507365-23509365
chr10:23507305-23509305	1	chr10:23507437-23509437
chr10:23507305-23509305	1	chr10:23507446-23509446
chr10:23507363-23509363	1	chr10:23507365-23509365
chr10:23507363-23509363	1	chr10:23507437-23509437
chr10:23507363-23509363	1	chr10:23507446-23509446
chr10:23507365-23509365	1	chr10:23507437-23509437
chr10:23507365-23509365	1	chr10:23507446-23509446
chr10:23507437-23509437	1	chr10:23507446-23509446
chr10:43446602-43448600	1	chr10:43551895-43553895
chr10:43446602-43448600	1	chr10:43580812-43583711
chr10:43446602-43448600	1	chr10:43581056-43583056
chr10:43446602-43448600	1	chr10:43581812-43582711
chr10:43551895-43553895	1	chr10:43580812-43583711
chr10:43551895-43553895	1	chr10:43581056-43583056
chr10:43551895-43553895	1	chr10:43581812-43582711
chr10:43580812-43583711	1	chr10:43581056-43583056
chr10:43580812-43583711	1	chr10:43581812-43582711
chr10:43581056-43583056	1	chr10:43581812-43582711
chr10:51540002-51545000	1	chr10:51548496-51550496
chr10:6074002-6104800	1	chr10:6107202-6117600
chr10:6243287-6244600	1	chr10:7567002-7567600
chr10:6243287-6244600	1	chr10:7927151-7929152
chr10:6243287-6244600	1	chr10:8066866-8068867
chr10:6243287-6244600	1	chr10:8098002-8121400
chr10:6243287-6244600	1	chr10:8372002-8377000
chr10:6243287-6244600	1	chr10:8390002-8394400
chr10:6243287-6244600	1	chr10:8402002-8404600
chr10:6243287-6244600	1	chr10:8405602-8410600
chr10:6243287-6244600	1	chr10:8898177-8900178
chr10:6243287-6244600	1	chr10:8898312-8900313
chr10:6243287-6244600	1	chr10:8899652-8901653
chr10:6243287-6244600	1	chr10:8902379-8904380
chr10:6243287-6244600	1	chr10:8910062-8912063
chr10:6243287-6244600	1	chr10:9078498-9080499
chr10:6243287-6244600	1	chr10:9111313-9113314
chr10:6243287-6244600	1	chr10:9116103-9118104
chr10:6243287-6244600	1	chr10:9200402-9201600
chr10:6243287-6244600	1	chr10:9214998-9216999
chr10:6243287-6244600	1	chr10:9342954-9344955
chr10:64201343-64202560	1	chr10:64736575-64738575
chr10:7567002-7567600	1	chr10:7927151-7929152
chr10:7567002-7567600	1	chr10:8066866-8068867
chr10:7567002-7567600	1	chr10:8098002-8121400
chr10:7567002-7567600	1	chr10:8372002-8377000
chr10:7567002-7567600	1	chr10:8390002-8394400
chr10:7567002-7567600	1	chr10:8402002-8404600
chr10:7567002-7567600	1	chr10:8405602-8410600
chr10:7567002-7567600	1	chr10:8898177-8900178
chr10:7567002-7567600	1	chr10:8898312-8900313
chr10:7567002-7567600	1	chr10:8899652-8901653
chr10:7567002-7567600	1	chr10:8902379-8904380
chr10:7567002-7567600	1	chr10:8910062-8912063
chr10:7567002-7567600	1	chr10:9078498-9080499
chr10:7567002-7567600	1	chr10:9111313-9113314
chr10:7567002-7567600	1	chr10:9116103-9118104
chr10:7567002-7567600	1	chr10:9200402-9201600
chr10:7567002-7567600	1	chr10:9214998-9216999
